Documento 0:
Índice	Término			TF	IDF	TF-IDF
37	clean			0.04000	0.82391	0.03296	
9	this			0.04000	0.04576	0.00183	
26	would			0.04000	1.00000	0.04000	
27	pair			0.04000	0.69897	0.02796	
5	with			0.04000	0.15490	0.00620	
259	fried			0.04000	1.30103	0.05204	
260	seafood			0.04000	1.30103	0.05204	
31	or			0.04000	0.82391	0.03296	
261	spaghetti		0.04000	1.30103	0.05204	
262	con			0.04000	1.30103	0.05204	
263	vongole			0.04000	1.30103	0.05204	
58	it			0.04000	0.60206	0.02408	
148	offers			0.04000	1.00000	0.04000	
264	pretty			0.04000	1.30103	0.05204	
191	citrus			0.04000	0.82391	0.03296	
265	tones			0.04000	1.30103	0.05204	
266	followed		0.04000	1.30103	0.05204	
50	by			0.04000	0.69897	0.02796	
74	a			0.04000	0.15490	0.00620	
245	drying			0.04000	1.00000	0.04000	
189	mineral			0.04000	1.00000	0.04000	
267	nuance			0.04000	1.30103	0.05204	


Documento 17:
Índice	Término			TF	IDF	TF-IDF
9	this			0.05263	0.04576	0.00241	
36	is			0.05263	0.22185	0.01168	
74	a			0.05263	0.15490	0.00815	
117	sweet			0.05263	0.69897	0.03679	
11	wine			0.05263	0.25964	0.01367	
5	with			0.05263	0.15490	0.00815	
61	flavors			0.05263	0.39794	0.02094	
35	of			0.05263	0.09691	0.00510	
119	white			0.05263	0.82391	0.04336	
268	sugar			0.05263	1.30103	0.06848	
88	orange			0.05263	1.00000	0.05263	
89	honey			0.05263	0.82391	0.04336	
17	and			0.05263	0.02228	0.00117	
240	vanilla			0.05263	1.00000	0.05263	
269	all			0.05263	1.30103	0.06848	
270	brightened		0.05263	1.30103	0.06848	
50	by			0.05263	0.69897	0.03679	
271	crisp			0.05263	1.30103	0.06848	
95	acidity			0.05263	0.82391	0.04336	


Documento 18:
Índice	Término			TF	IDF	TF-IDF
9	this			0.02000	0.04576	0.00092	
272	bottling		0.02000	1.30103	0.02602	
273	resembles		0.02000	1.30103	0.02602	
21	the			0.06000	0.22185	0.01331	
81	new			0.02000	1.00000	0.02000	
82	zealand			0.02000	1.00000	0.02000	
274	paradigm		0.02000	1.30103	0.02602	
35	of			0.08000	0.09691	0.00775	
73	sauvignon		0.02000	0.69897	0.01398	
83	blanc			0.02000	0.82391	0.01648	
275	bearing			0.02000	1.30103	0.02602	
46	aromas			0.02000	0.60206	0.01204	
224	grapefruit		0.02000	1.00000	0.02000	
276	passion			0.02000	1.30103	0.02602	
2	fruit			0.02000	0.30103	0.00602	
17	and			0.02000	0.02228	0.00045	
277	kiwi;			0.02000	1.30103	0.02602	
74	a			0.04000	0.15490	0.00620	
278	sprinkling		0.02000	1.30103	0.02602	
279	graham			0.02000	1.30103	0.02602	
280	cracker			0.02000	1.30103	0.02602	
281	adds			0.02000	1.30103	0.02602	
282	interest		0.02000	1.30103	0.02602	
11	wine			0.02000	0.25964	0.00519	
283	hits			0.02000	1.30103	0.02602	
127	palate			0.02000	0.60206	0.01204	
284	like			0.02000	1.30103	0.02602	
285	fleshy			0.02000	1.30103	0.02602	
286	fist			0.02000	1.30103	0.02602	
5	with			0.04000	0.15490	0.00620	
12	an			0.02000	0.82391	0.01648	
287	intense			0.02000	1.30103	0.02602	
288	grassy			0.02000	1.30103	0.02602	
77	gooseberry		0.02000	1.00000	0.02000	
78	flavor			0.02000	0.60206	0.01204	
25	that			0.02000	0.60206	0.01204	
289	provides		0.02000	1.30103	0.02602	
290	plenty			0.02000	1.30103	0.02602	
291	punch			0.02000	1.30103	0.02602	
27	pair			0.02000	0.69897	0.01398	
292	apricot-glazed		0.02000	1.30103	0.02602	
293	roasted			0.02000	1.30103	0.02602	
294	chicken			0.02000	1.30103	0.02602	


Documento 19:
Índice	Término			TF	IDF	TF-IDF
165	soft			0.03226	0.82391	0.02658	
17	and			0.06452	0.02228	0.00144	
295	fruity			0.03226	1.30103	0.04197	
9	this			0.06452	0.04576	0.00295	
36	is			0.03226	0.22185	0.00716	
74	a			0.06452	0.15490	0.00999	
296	generous		0.03226	1.30103	0.04197	
59	ripe			0.03226	0.69897	0.02255	
11	wine			0.06452	0.25964	0.01675	
297	that's			0.03226	1.30103	0.04197	
298	full			0.03226	1.30103	0.04197	
35	of			0.03226	0.09691	0.00313	
14	juicy			0.03226	0.82391	0.02658	
299	red-cherry		0.03226	1.30103	0.04197	
300	fruits			0.03226	1.30103	0.04197	
301	gentle			0.03226	1.30103	0.04197	
7	tannins			0.03226	0.69897	0.02255	
58	it			0.03226	0.60206	0.01942	
64	has			0.03226	0.69897	0.02255	
302	some			0.03226	1.30103	0.04197	
303	richness		0.03226	1.30103	0.04197	
8	giving			0.03226	1.00000	0.03226	
117	sweet			0.03226	0.69897	0.02255	
15	character		0.03226	1.00000	0.03226	
80	to			0.03226	0.82391	0.02658	
13	open			0.03226	1.00000	0.03226	
304	ready-to-drink		0.03226	1.30103	0.04197	


---------------- Similaridad coseno ----------------
cos(0,19) = 0.00868
cos(2,10) = 0.00505
cos(3,7) = 0.00457
cos(4,17) = 0.00375
cos(10,16) = 0.00366
cos(8,12) = 0.00359
cos(1,16) = 0.00348
cos(0,12) = 0.00337
cos(2,8) = 0.00305
cos(4,13) = 0.00305
cos(8,19) = 0.00298
cos(4,18) = 0.00295
cos(12,19) = 0.00293
cos(0,1) = 0.00292
cos(12,17) = 0.00286
cos(1,7) = 0.00281
cos(10,17) = 0.00275
cos(0,15) = 0.00261
cos(13,16) = 0.00252
cos(0,14) = 0.00252
cos(3,9) = 0.00248
cos(0,9) = 0.00237
cos(5,11) = 0.00235
cos(4,12) = 0.00233
cos(3,13) = 0.00208
cos(9,12) = 0.00199
cos(5,14) = 0.00195
cos(1,13) = 0.00193
cos(1,9) = 0.00191
cos(8,9) = 0.00187
cos(5,9) = 0.00178
cos(13,18) = 0.00176
cos(1,12) = 0.00173
cos(2,6) = 0.00170
cos(6,8) = 0.00168
cos(12,14) = 0.00164
cos(7,16) = 0.00164
cos(11,19) = 0.00164
cos(9,14) = 0.00157
cos(11,14) = 0.00153
cos(6,17) = 0.00152
cos(11,12) = 0.00151
cos(3,4) = 0.00149
cos(6,15) = 0.00148
cos(15,17) = 0.00138
cos(9,15) = 0.00133
cos(8,14) = 0.00133
cos(0,11) = 0.00130
cos(5,6) = 0.00126
cos(17,19) = 0.00125
cos(2,4) = 0.00124
cos(5,15) = 0.00124
cos(4,19) = 0.00123
cos(13,17) = 0.00122
cos(6,14) = 0.00121
cos(16,17) = 0.00114
cos(4,11) = 0.00112
cos(2,17) = 0.00112
cos(0,18) = 0.00111
cos(3,8) = 0.00110
cos(15,18) = 0.00109
cos(2,16) = 0.00107
cos(2,9) = 0.00106
cos(7,8) = 0.00097
cos(2,12) = 0.00096
cos(4,10) = 0.00094
cos(6,9) = 0.00094
cos(1,18) = 0.00093
cos(5,8) = 0.00093
cos(5,12) = 0.00092
cos(9,19) = 0.00091
cos(15,16) = 0.00089
cos(8,18) = 0.00089
cos(2,19) = 0.00089
cos(3,19) = 0.00086
cos(11,15) = 0.00085
cos(14,15) = 0.00085
cos(9,18) = 0.00084
cos(9,11) = 0.00083
cos(5,17) = 0.00083
cos(12,18) = 0.00083
cos(2,7) = 0.00081
cos(8,15) = 0.00078
cos(1,15) = 0.00077
cos(4,8) = 0.00077
cos(2,15) = 0.00075
cos(2,14) = 0.00075
cos(10,13) = 0.00074
cos(5,18) = 0.00073
cos(1,5) = 0.00071
cos(14,16) = 0.00071
cos(6,18) = 0.00068
cos(6,7) = 0.00065
cos(6,10) = 0.00064
cos(4,5) = 0.00064
cos(14,19) = 0.00063
cos(14,17) = 0.00062
cos(8,16) = 0.00061
cos(7,18) = 0.00061
cos(11,17) = 0.00060
cos(6,11) = 0.00058
cos(3,18) = 0.00056
cos(7,17) = 0.00055
cos(14,18) = 0.00054
cos(16,19) = 0.00054
cos(7,12) = 0.00052
cos(4,14) = 0.00052
cos(1,6) = 0.00052
cos(15,19) = 0.00051
cos(4,9) = 0.00051
cos(5,19) = 0.00049
cos(7,11) = 0.00049
cos(4,15) = 0.00049
cos(9,17) = 0.00049
cos(2,18) = 0.00048
cos(3,17) = 0.00047
cos(5,13) = 0.00047
cos(1,4) = 0.00047
cos(16,18) = 0.00047
cos(13,15) = 0.00047
cos(1,8) = 0.00047
cos(2,5) = 0.00046
cos(7,9) = 0.00046
cos(13,14) = 0.00046
